_id,region,crop,year,season,yield (tons/hectare),market_price (per ton),profit (per hectare),loss (per hectare),reason_of_loss,demand,cost_of_production
66fd0773bb1d40464e7b4c47,Karnataka,Groundnut,2020,Kharif,1.8,1400,7000,200,None,High,3000
66fd0773bb1d40464e7b4c48,Karnataka,Groundnut,2021,Kharif,1.9,1450,7500,150,None,High,3200
66fd0773bb1d40464e7b4c49,Karnataka,Groundnut,2022,Kharif,2,1500,8000,100,None,High,3200
66fd0773bb1d40464e7b4c4a,Karnataka,Groundnut,2023,Kharif,1.9,1550,7800,50,None,High,3100
66fd0773bb1d40464e7b4c4b,Madhya Pradesh,Pearl Millet,2020,Kharif,2.2,1000,4000,200,None,Low,3000
66fd0773bb1d40464e7b4c4c,Madhya Pradesh,Pearl Millet,2021,Kharif,2.5,1100,4500,150,None,Medium,3200
66fd0773bb1d40464e7b4c4d,Madhya Pradesh,Pearl Millet,2022,Kharif,2.6,1200,5000,100,None,Medium,3300
66fd0773bb1d40464e7b4c4e,Madhya Pradesh,Pearl Millet,2023,Kharif,2.5,1150,4800,0,None,Medium,3200
66fd0773bb1d40464e7b4c4f,Assam,Tea,2020,All Year,1.5,2500,18000,300,None,High,5000
66fd0773bb1d40464e7b4c50,Assam,Tea,2021,All Year,1.6,2700,19000,200,None,High,5200
66fd0773bb1d40464e7b4c51,Assam,Tea,2022,All Year,1.7,2900,20000,100,None,High,5300
66fd0773bb1d40464e7b4c52,Assam,Tea,2023,All Year,1.8,3100,21000,0,None,High,5400
66fd0773bb1d40464e7b4c53,Himachal Pradesh,Apple,2020,All Year,8,2000,12000,500,Pests,High,8000
66fd0773bb1d40464e7b4c54,Himachal Pradesh,Apple,2021,All Year,8.5,2100,13000,400,Pests,High,8500
66fd0773bb1d40464e7b4c55,Himachal Pradesh,Apple,2022,All Year,9,2200,14000,300,None,High,8500
66fd0773bb1d40464e7b4c56,Himachal Pradesh,Apple,2023,All Year,9.5,2300,15000,200,None,High,9000
66fd0773bb1d40464e7b4c57,Gujarat,Sugarcane,2020,All Year,60,500,18000,0,None,Medium,4000
66fd0773bb1d40464e7b4c58,Gujarat,Sugarcane,2021,All Year,65,550,19000,0,None,Medium,4000
66fd0773bb1d40464e7b4c59,Gujarat,Sugarcane,2022,All Year,70,600,20000,0,None,Medium,4000
66fd0773bb1d40464e7b4c5a,Gujarat,Sugarcane,2023,All Year,75,650,21000,0,None,Medium,4000
